#,name,Chukar.Occurrence,Galbreath,Chukar.Occurrence.Regression
532,Hoodsport,A,N,0
533,Hooper,P,Y,1
534,Hooper Lake,P,Y,1
535,Hopkins Canyon,P,Y,1
536,Hopkins Ridge,P,Y,1
537,Hoquiam,A,N,0
538,Horn Rapids Dam,P,Y,1
539,Horseshoe Basin,P,Y,1
540,Hozomeen Mountain,A,Y,0
541,Huckleberry Mountain,A,Y,0
542,Hudson Creek,A,Y,0
543,Humorist,P,Y,1
544,Humptulips,A,N,0
545,Hunger Mountain,A,Y,0
546,Hungry Mountain,P,Y,1
547,Hunters,A,Y,0
548,Huntsville,P,Y,1
549,Hurley Peak,P,Y,1
550,Hurricane Hill,A,Y,0
551,Husum,A,Y,0
552,Illabot Peaks,A,Y,0
553,Inchelium,A,N,0
554,Independent Mountain,A,N,0
555,Index,A,N,0
556,Indian Pass,A,Y,0
557,Indian Rock,A,Y,0
558,Inkster Lake,A,Y,0
559,Ione,A,N,0
560,Iowa Flats,P,Y,1
561,Irby,P,Y,1
562,Irrigon,P,N,1
563,Jack Mountain,A,Y,0
564,Jack Ridge,A,N,0
565,Jack Woods Butte,P,Y,1
566,Jackknife Mountain,A,N,0
567,Jackson Prairie,A,N,0
568,Jameson Lake East,P,Y,1
569,Jameson Lake SE,P,Y,1
570,Jameson Lake SW,P,Y,1
571,Jameson Lake West,P,Y,1
572,Jared,A,N,0
573,Jennies Butte,A,Y,0
574,Jim Creek Butte,P,N,1
575,Joe Lake,P,Y,1
576,Johnny George Mountain,A,N,0
577,Johnson Butte,P,Y,1
578,Joyce,A,Y,0
579,Jungle Butte,A,Y,0
580,Juniper,P,N,1
581,Juniper Beach,A,Y,0
582,Juniper Canyon,P,N,1
583,Kachess Lake,A,Y,0
584,Kahlotus,P,Y,1
585,Kalaloch Ridge,A,N,0
586,Kalama,A,N,0
587,Kamilche Valley,A,Y,0
588,Karakul Hills,A,Y,0
589,Karamin,A,N,0
590,Keller,A,N,0
591,Keller Butte,P,N,1
592,Keller Ferry,A,N,0
593,Kellogg Creek,P,Y,1
594,Kelso,A,N,0
595,Kendall,A,Y,0
596,Kennewick,P,Y,1
597,Kentry Ridge,A,Y,0
598,Kettle Falls,A,Y,0
599,Kewa,A,N,0
600,Keystone,P,Y,1
601,Kimta Peak,A,N,0
602,King Mountain,A,N,0
603,Kiona Peak,A,N,0
604,Kirby,P,Y,1
605,Kittitas,P,Y,1
606,Klickitat,A,Y,0
607,Kloochman Rock,A,N,0
608,Knappton,A,N,0
609,Knowlton Knob,P,N,1
610,Kooskooskie,P,Y,1
611,Kusshi Creek,A,Y,0
612,La Conner,A,Y,0
613,La Crosse East,A,Y,0
614,La Crosse West,A,Y,0
615,La Fleur Lake,A,N,0
616,La Push,A,Y,0
617,Labyrinth Mountain,A,N,0
618,Lacamas Creek,A,Y,0
619,Lacey,A,N,0
620,Lake Chaplain,A,N,0
621,Lake Crescent,A,Y,0
622,Lake Gillette,A,Y,0
623,Lake Joy,A,N,0
624,Lake Kapowsin,A,Y,0
625,Lake Lawrence,A,N,0
626,Lake Philippa,A,N,0
627,Lake Pleasant,A,Y,0
628,Lake Quinault East,A,N,0
629,Lake Quinault West,A,N,0
630,Lake Roesiger,A,N,0
631,Lake Shannon,A,Y,0
632,Lake Stevens,A,N,0
633,Lake Sutherland,A,Y,0
634,Lake Wenatchee,A,N,0
635,Lake Whatcom,A,Y,0
636,Lake Wooten,A,N,0
637,Lakeview Peak,A,N,0
638,Lamoine,P,Y,1
639,Lamona,P,Y,1
640,Lamont,A,Y,0
641,Lamont NE,A,Y,0
642,Lance Hills,A,Y,0
643,Langley,A,Y,0
644,Larch Mountain,A,Y,0
645,Larsen Creek,A,N,0
646,Latah,A,Y,0
647,Laurier,A,Y,0
648,Lawrence,A,Y,0
649,Le Dout Creek,A,Y,0
650,Leadpoint,A,Y,0
651,Leahy,P,Y,1
652,Leavenworth,P,N,1
653,Lebam,A,N,0
654,Lenzie Ranch,P,Y,1
655,Lester,A,N,0
656,Levey,P,Y,1
657,Levey NE,P,Y,1
658,Levey SW,P,Y,1
659,Lewis Butte,P,Y,1
660,Lewiston Orchards South,P,N,1
661,Liberty,P,Y,1
662,Liberty Lake,A,Y,0
663,Lightning Peak,A,N,0
664,Lilliwaup,A,N,0
665,Lime Mountain,A,N,0
666,Limekiln Rapids,P,N,1
667,Lincoln,A,Y,0
668,Lind,P,Y,1
669,Lind SE,P,Y,1
670,Lind SW,P,Y,1
671,Little Falls,A,Y,0
672,Little Huckleberry Mountain,A,N,0
673,Little Penawawa Creek,A,Y,0
674,Little Soap Lake,P,Y,1
675,Littlerock,A,N,0
676,Locke Island,P,Y,1
677,Lofall,A,N,0
678,Logan Hill,A,N,0
679,Logy Creek Falls,A,Y,0
680,Logy Creek NE,A,Y,0
681,Logy Creek SW,A,Y,0
682,Lone Butte,A,N,0
683,Lone Pine Butte,A,Y,0
684,Long Island,A,N,0
685,Long Lake,A,Y,0
686,Longbranch,A,Y,0
687,Lookout Mountain,A,N,0
688,Loomis,P,Y,1
689,Lords Valley,A,Y,0
690,Lost Horse Plateau,A,Y,0
691,Lost Lake,A,N,0
692,Lost Peak,A,Y,0
693,Louie Creek,A,N,0
694,Loup Loup Summit,P,Y,1
695,Lowden,P,Y,1
696,Lower Monumental Dam,P,Y,1
697,Lucerne,A,N,0
698,Lummi Bay,A,Y,0
699,Luna Butte,A,Y,0
700,Luna Gulch,A,Y,0
701,Lyle,A,N,0
702,Lyman,A,Y,0
703,Lynden,A,Y,0
704,Mabton East,A,Y,0
705,Mabton West,A,Y,0
706,Macafee Hill,A,N,0
707,Macall,A,Y,0
708,Mae,P,Y,1
709,Maiden Peak,A,Y,0
710,Maiden Spring,P,Y,1
711,Makah Bay,A,Y,0
712,Malaga,P,N,1
713,Malaga NE,P,Y,1
714,Malden,A,Y,0
715,Mallardy Ridge,A,N,0
716,Malo,A,N,0
717,Malone,A,N,0
